,Unnamed: 0,subject,predicate,object,question,context,bool_type,source_type,input,label,contextual_answer,output
13,13,america,HasA,royalty,"does America have royalty?
 does America have royalty?
does america have royalty?"," the last reigning monarch in America was Queen Liliuokalani of Hawaii.
 america is a republic.",neg,need_edit,does America have royalty?,14,false,contextual: false
14,14,cat,IsA,dog,"is a cat a kind of dog?
 are cats a kind of dog?
is cat a type of dog?"," cats are a kind of mammal.
 a cat is a kind of animal.",neg,need_edit,is a cat a kind of dog?,15,false,contextual: false
15,15,child,HasProperty,purple in color,"does a child have the property of being purple in color?
 are children usually purple in color?
does the child have the property of purple in color?"," children have the property of being human.
 a child is a person.",neg,need_edit,does a child have the property of being purple in color?,16,false,contextual: false
16,16,toy,HasProperty,just for child,"is a toy just for a child?
 are toys usually just for children?
does toy have the property of just for child?", many adults collect toys.,neg,need_edit,is a toy just for a child?,17,false,contextual: false
17,17,person,Desires,overspend,"do people desire to overspend?
 do people usually desire to overspend?
does a person want to overspend?", people desire to save money.,neg,need_edit,do people desire to overspend?,18,false,contextual: false
18,18,muslim,Desires,eat pork,"do muslims want to eat pork?
 do muslims usually want to eat pork?
does muslim want to eat pork?"," pork is not halal.
 muslims are forbidden to eat pork.",neg,need_edit,do muslims want to eat pork?,19,false,contextual: false
19,19,president,Desires,peace breaker,"does the president want to break the peace?
 does the president usually desire to break the peace?
does president want peace breaker?"," the president wants to end the war.
 the president wants to keep the peace.",neg,need_edit,does the president want to break the peace?,20,false,contextual: false
20,20,person,Desires,be slob,"does every person desire to be a slob?
 do people generally desire to be slobs?
does a person want to be slob?"," every person desires to be happy.
 every person desires to be a slob.",neg,need_edit,does every person desire to be a slob?,21,false,contextual: false
21,21,ear,CapableOf,talk,"can ears talk?
 can an ear talk?
can ear talk?"," the ear is an organ.
 ears are used for hearing.",neg,need_edit,can ears talk?,22,false,contextual: false
22,22,womanizer,Desires,jealous girlfriend,"does a womanizer want a jealous girlfriend?
 does a womanizer usually desire a jealous girlfriend?
does womanizer want jealous girlfriend?"," a womanizer is a man who sleeps with many women.
 a womanizer is a man who has many girlfriends.",neg,need_edit,does a womanizer want a jealous girlfriend?,23,false,contextual: false
23,23,person,Desires,be laughingstock,"does a person want to be a laughingstock?
 do people usually want to be a laughingstock?
does a person want to be laughingstock?"," a person wants to be respected.
 a person wants to be respected.",neg,need_edit,does a person want to be a laughingstock?,24,false,contextual: false
24,24,person,Desires,face death,"does every person desire to face death?
 do people usually desire to face death?
does a person want to face death?"," some people are afraid of death.
 people are afraid of death.",neg,need_edit,does every person desire to face death?,25,false,contextual: false
25,25,person,Desires,be kill,"does a person desire to be killed?
 do people usually desire to be killed?
does a person want to be killed?"," a person's natural instinct is to survive.
 people usually desire to live.",neg,need_edit,does a person desire to be killed?,26,false,contextual: false
26,26,human,CapableOf,fly unaided,"can humans fly unaided?
 can humans fly unaided?
can humans fly unaided?"," humans have wings.
 humans can fly with the help of a plane.",neg,need_edit,can humans fly unaided?,27,false,contextual: false
27,27,mother,Desires,child to die,"does a mother ever want her child to die?
 does a mother usually desire for her child to die?
does mother want child to die?"," a mother's love is unending.
 a mother is a female parent.",neg,need_edit,does a mother ever want her child to die?,28,false,contextual: false
28,28,old map of world,HasProperty,accurate,"are old maps of the world accurate?
 are old maps of the world usually accurate?
does old map of world have the property of accuracy?"," the world is constantly changing.
 old maps of the world are maps of the world that were made a long time ago.",neg,need_edit,are old maps of the world accurate?,29,false,contextual: false
29,29,in ancient time typewriter,CapableOf,exist,"did typewriters exist in ancient times?
 did typewriters exist in ancient times?
can ancient time typewriter exist?"," the first typewriter was invented in 1868.
 typewriters were invented in the 19th century.",neg,need_edit,did typewriters exist in ancient times?,30,false,contextual: false
30,30,curveball,CapableOf,travel in straight line,"can a curveball travel in a straight line?
 can a curveball travel in a straight line?
can curveball travel in straight line?"," curveballs are thrown with a spin.
 curveballs curve.",neg,need_edit,can a curveball travel in a straight line?,31,false,contextual: false
31,31,person,Desires,break bone,"does a person ever desire to break a bone?
 do people usually desire to break bones?
does a person want to break bone?", people with osteoporosis are at an increased risk for bone fractures.,neg,need_edit,does a person ever desire to break a bone?,32,false,contextual: false
32,32,person,Desires,break leg,"does a person ever desire to break their leg?
 does anyone ever desire to break their leg?
does person want to break leg?"," people want to be healthy.
 people want to be healthy.",neg,need_edit,does a person ever desire to break their leg?,33,false,contextual: false
33,33,exam table,IsA,same as examination board,"is an exam table the same as an examination board?
 is an exam table the same as an examination board?
is exam table a type of same as examination board?", an exam table is a piece of furniture.,neg,need_edit,is an exam table the same as an examination board?,34,false,contextual: false
34,34,airplane,CapableOf,use toast for fuel,"can airplanes use toast for fuel?
 can airplanes use toast for fuel?
can an airplane use toast for fuel?"," toast is a food.
 airplanes use jet fuel.",neg,need_edit,can airplanes use toast for fuel?,35,false,contextual: false
35,35,diner,Desires,overpay,"do diners want to overpay?
 do diners usually desire to overpay?
does diner want to overpay?"," diners want to be happy with their purchase.
 diners are people who eat at restaurants.",neg,need_edit,do diners want to overpay?,36,false,contextual: false
36,36,person,Desires,burn down house,"does every person desire to burn down their house?
 do people usually desire to burn down their own houses?
does a person want to burn down their house?"," some people have a fear of fire.
 people are humans.",neg,need_edit,does every person desire to burn down their house?,37,false,contextual: false
37,37,person,Desires,get threat,"does a person want to get threatened?
 do people usually desire to get threatened?
does person want to get a threat?"," people want to feel safe.
 a person wants to be safe.",neg,need_edit,does a person want to get threatened?,38,false,contextual: false
38,38,person,Desires,feel hate,"do people desire to feel hate?
 do people usually want to feel hate?
does a person want to feel hate?"," people are emotional creatures.
 people are social animals.",neg,need_edit,do people desire to feel hate?,39,false,contextual: false
39,39,you,CapableOf,go swim during lightning storm,"can you go swimming during a lightning storm?
 is it generally safe for you to go swimming during a lightning storm?
can you swim during a lightning storm?"," you should not go swimming during a thunderstorm.
 lightning is a type of thunderstorm.",neg,need_edit,can you go swimming during a lightning storm?,40,false,contextual: false
40,40,person,Desires,lose contest,"does a person want to lose a contest?
 do people usually want to lose contests?
does person want to lose contest?", a person wants to win a contest.,neg,need_edit,does a person want to lose a contest?,41,false,contextual: false
41,41,nudist,Desires,cold weather,"do nudists desire cold weather?
 do nudists generally desire cold weather?
does the nudist want cold weather?"," nudists are people who do not wear clothes.
 nudists like to be naked.",neg,need_edit,do nudists desire cold weather?,42,false,contextual: false
42,42,golden retriever,IsA,bright dog in world,"is a golden retriever a bright dog in the world?
 is a golden retriever one of the brightest dogs in the world?
is golden retriever a type of bright dog in the world?", a golden retriever is a breed of dog.,neg,need_edit,is a golden retriever a bright dog in the world?,43,false,contextual: false
43,43,refrigerator,Desires,be unplug,"does a refrigerator want to be unplugged?
 does a refrigerator ever desire to be unplugged?
does refrigerator want to unplug?", a refrigerator is an appliance.,neg,need_edit,does a refrigerator want to be unplugged?,44,false,contextual: false
44,44,fictional statement,HasProperty,true,"does a fictional statement have the property of being true?
 is it true that fictional statements have the property of being true?
does a fictional statement have the property of true?"," a fictional statement is not true.
 a fictional statement is a statement that is not true.",neg,need_edit,does a fictional statement have the property of being true?,45,false,contextual: false
45,45,pet,CapableOf,eat grass,"can pets eat grass?
 can pets eat grass?
can pet eat grass?", pets eat meat.,neg,need_edit,can pets eat grass?,46,false,contextual: false
46,46,person,Desires,be victim of gossip,"does a person ever desire to be the victim of gossip?
 do people usually want to be the victim of gossip?
does a person want to be victim of gossip?"," no
 gossip is a form of social violence.",neg,need_edit,does a person ever desire to be the victim of gossip?,47,false,contextual: false
47,47,you,CapableOf,walk on ceiling,"can you walk on the ceiling?
 can you walk on the ceiling?
can you walk on the ceiling?"," the ceiling is above the floor.
 the ceiling is above you.",neg,need_edit,can you walk on the ceiling?,48,false,contextual: false
48,48,vegetarian,CapableOf,eat dead animal,"can vegetarians eat dead animals?
 can vegetarians eat dead animals?
can vegetarians eat dead animals?"," some vegetarians eat eggs and dairy.
 vegetarians do not eat meat.",neg,need_edit,can vegetarians eat dead animals?,49,false,contextual: false
49,49,rollercoasters be fun if you,HasProperty,afraid of height,"are rollercoasters fun if you're afraid of heights?
 are rollercoasters usually fun if you're afraid of heights?
does rollercoasters be fun if you have the property of afraid of heights?"," some people are afraid of rollercoasters because they are very high off the ground.
 rollercoasters are amusement park rides.",neg,need_edit,are rollercoasters fun if you're afraid of heights?,50,false,contextual: false
50,50,person,CapableOf,breathe under water unaided,"can people breathe under water without help?
 can people breathe under water unaided?
can a person breathe under water unaided?"," people cannot breathe under water.
 people can breathe under water with help.",neg,need_edit,can people breathe under water without help?,51,false,contextual: false
51,51,student,Desires,take exam,"do students desire to take exams?
 do students generally desire to take exams?
does student want to take exam?"," exams are a way of testing students' knowledge.
 students are people who take exams.",neg,need_edit,do students desire to take exams?,52,false,contextual: false
52,52,rubber,CapableOf,get wet easily,"does rubber get wet easily?
 can rubber get wet easily?
can rubber get wet easily?", rubber is waterproof.,neg,need_edit,does rubber get wet easily?,53,false,contextual: false
53,53,time,CapableOf,stand still,"can time stand still?
 can time stand still?
can time stand still?"," time is a measure of change.
 time is a concept.",neg,need_edit,can time stand still?,54,false,contextual: false
54,54,person,Desires,night blindness,"does a person desire night blindness?
 do people usually desire to be night blind?
does a person want night blindness?"," a person may be born with night blindness.
 night blindness is a disease.",neg,need_edit,does a person desire night blindness?,55,false,contextual: false
55,55,person,Desires,be party pooper,"does every person desire to be a party pooper?
 do people usually desire to be party poopers?
does a person want to be party pooper?"," some people enjoy being party poopers.
 a party pooper is a person who ruins the fun of a party.",neg,need_edit,does every person desire to be a party pooper?,56,false,contextual: false
56,56,map,IsA,true representation of reality,"is a map a true representation of reality?
 is a map always a true representation of reality?
is map a type of true representation of reality?", maps are created by people.,neg,need_edit,is a map a true representation of reality?,57,false,contextual: false
57,57,clown fish,CapableOf,get sting by anenomes,"can clown fish get stung by anemones?
 can clown fish get stung by anenomes?
can clown fish get sting by anenomes?"," clown fish live in anemones.
 clown fish are immune to anemones.",neg,need_edit,can clown fish get stung by anemones?,58,false,contextual: false
58,58,juice,IsA,100 natural,"is juice 100% natural?
 is juice always 100 natural?
is juice a type of 100 natural?", juice is a kind of drink.,neg,need_edit,is juice 100% natural?,59,false,contextual: false
59,59,bipedal mammal,HasProperty,capable of flight,"do all bipedal mammals have the capability of flight?
 do all bipedal mammals have the capability of flight?
does bipedal mammal have the property of being capable of flight?"," all bipedal mammals have two legs.
 humans are bipedal mammals.",neg,need_edit,do all bipedal mammals have the capability of flight?,60,false,contextual: false
60,60,do,CapableOf,drink pesticide,"can people drink pesticide?
 can people drink pesticide?
can i drink pesticide?"," pesticide is poisonous.
 pesticide is toxic.",neg,need_edit,can people drink pesticide?,61,false,contextual: false
61,61,house be home but home,IsA,house,"is a house always a home?
 is a house always a home, but a home is not always a house?
is house a home but a type of house?"," a house is a building.
 a house is a building.",neg,need_edit,is a house always a home?,62,false,contextual: false
62,62,arizona,HasA,very much greenery,"does Arizona have a lot of greenery?
 does Arizona have a lot of greenery?
does arizona have very much greenery?"," arizona is a desert state.
 arizona is a desert.",neg,need_edit,does Arizona have a lot of greenery?,63,false,contextual: false
63,63,lie,IsA,truth,"is a lie the same as the truth?
 is a lie the same as the truth?
is a lie a type of truth?"," a lie is an untruth.
 a lie is the opposite of the truth.",neg,need_edit,is a lie the same as the truth?,64,false,contextual: false
64,64,puck,IsA,touch hockey stick,"is a puck a kind of hockey stick?
 is a puck a kind of touch hockey stick?
is puck a type of touch hockey stick?"," a puck is a small, round, flat object.
 a puck is a kind of hockey equipment.",neg,need_edit,is a puck a kind of hockey stick?,65,false,contextual: false
65,65,monarchy,IsA,representative form of government,"is monarchy a type of representative government?
 is monarchy a representative form of government?
is monarchy a type of representative form of government?"," monarchy is a form of government in which a person, usually a family member of the previous monarch, inherits the throne.
 monarchy is a type of government.",neg,need_edit,is monarchy a type of representative government?,66,false,contextual: false
66,66,airplane,CapableOf,fly backwards,"can airplanes fly backwards?
 can airplanes fly backwards?
can an airplane fly backwards?"," airplanes use thrust to move.
 airplanes are a kind of flying.",neg,need_edit,can airplanes fly backwards?,67,false,contextual: false
67,67,baker,Desires,bad yeast,"does a baker want bad yeast?
 does a baker ever desire bad yeast?
does baker want bad yeast?"," yeast is used for baking.
 yeast is needed for baking.",neg,need_edit,does a baker want bad yeast?,68,false,contextual: false
68,68,100 year ago tv,HasProperty,invent,"did tv's invent 100 years ago?
 was tv invented 100 years ago?
does 100 year ago tv have the property of invent?"," the first tv was invented in 1927.
 tv was invented in 1927.",neg,need_edit,did tv's invent 100 years ago?,69,false,contextual: false
69,69,person,Desires,speed ticket,"does a person want a speeding ticket?
 do people usually desire to get speed tickets?
does person want speed ticket?"," speeding is a violation of the law.
 a person wants to avoid a speeding ticket.",neg,need_edit,does a person want a speeding ticket?,70,false,contextual: false
70,70,office worker,Desires,go on business trip,"do office workers desire to go on business trips?
 do office workers generally desire to go on business trips?
does office worker want to go on a business trip?"," business trips can be stressful.
 office workers are tired of their work.",neg,need_edit,do office workers desire to go on business trips?,71,false,contextual: false
71,71,high school student,Desires,have final,"do high school students want to have finals?
 do high school students usually desire to have their final?
does high school student want final?"," high school students have to take finals.
 high school students want to have fun.",neg,need_edit,do high school students want to have finals?,72,false,contextual: false
72,72,person,Desires,become poor,"does every person desire to become poor?
 do people usually desire to become poor?
does a person want to become poor?"," some people are born into poverty.
 people desire to become rich.",neg,need_edit,does every person desire to become poor?,73,false,contextual: false
73,73,time,CapableOf,exist before big bang,"did time exist before the big bang?
 did time exist before the big bang?
can time exist before big bang?"," the big bang created the universe.
 the big bang is the beginning of the universe.",neg,need_edit,did time exist before the big bang?,74,false,contextual: false
74,74,person,Desires,confinement,"does a person desire confinement?
 do people usually desire confinement?
does a person want confinement?", a person desires freedom.,neg,need_edit,does a person desire confinement?,75,false,contextual: false
75,75,horse,IsA,human,"is a horse a kind of human?
 is a horse a human?
is horse a type of human?"," horses are a kind of animal.
 a horse is a kind of animal.",neg,need_edit,is a horse a kind of human?,76,false,contextual: false
76,76,memory,CapableOf,leave as easily as mist,"can memories be left as easily as mist?
 can memory be left as easily as mist?
can memory leave as easily as mist?"," memories are thoughts.
 memories are thoughts.",neg,need_edit,can memories be left as easily as mist?,77,false,contextual: false
77,77,passageway,IsA,hall,"is a passageway a hall?
 is a passageway always a hall?
is a passageway a type of hall?", a passageway is a corridor.,neg,need_edit,is a passageway a hall?,78,false,contextual: false
78,78,gamble,IsA,sure way to win money,"is gambling a sure way to win money?
 is gambling a sure way to win money?
is gambling a sure way to win money?"," the house always has an edge in gambling.
 gambling is a game of chance.",neg,need_edit,is gambling a sure way to win money?,79,false,contextual: false
79,79,animal,CapableOf,talk,"can animals talk?
 can animals talk?
can animal talk?", some animals can make noises that resemble human speech.,neg,need_edit,can animals talk?,80,false,contextual: false
80,80,person,Desires,be ill,"does a person ever desire to be ill?
 do people usually desire to be ill?
does a person want to be ill?"," people generally want to be healthy.
 people want to be healthy.",neg,need_edit,does a person ever desire to be ill?,81,false,contextual: false
81,81,teacher,Desires,bad class,"does the teacher want a bad class?
 does a teacher usually want a bad class?
does teacher want bad class?"," the teacher wants a good class.
 the teacher wants a good class.",neg,need_edit,does the teacher want a bad class?,82,false,contextual: false
82,82,person,Desires,body odor,"do people desire body odor?
 do people usually desire to have body odor?
does a person want body odor?"," body odor is the result of sweat and bacteria.
 body odor is a kind of smell.",neg,need_edit,do people desire body odor?,83,false,contextual: false
83,83,child,CapableOf,drink alcohol,"can children drink alcohol?
 can children drink alcohol?
can a child drink alcohol?"," alcohol is a depressant.
 alcohol is a type of drink.",neg,need_edit,can children drink alcohol?,84,false,contextual: false
84,84,person,Desires,eat raw animal,"does a person desire to eat raw animal?
 does every person desire to eat raw animal?
does a person want to eat raw animal?", a person desires to eat food.,neg,need_edit,does a person desire to eat raw animal?,85,false,contextual: false
85,85,unlit pipe,HasProperty,be smoke,"does an unlit pipe have the property of being smoke?
 does an unlit pipe generally have smoke?
does unlit pipe have the property of being smoke?"," pipes are for smoking.
 smoke is a property of a lit pipe.",neg,need_edit,does an unlit pipe have the property of being smoke?,86,false,contextual: false
86,86,hot dog,HasProperty,make from dog meat,"are hot dogs made from dog meat?
 are hot dogs usually made from dog meat?
does hot dog have the property of being made from dog meat?"," hot dogs are a type of sausage.
 hot dogs are made from pork.",neg,need_edit,are hot dogs made from dog meat?,87,false,contextual: false
87,87,party host,Desires,sound system to fail,"does the party host want the sound system to fail?
 does the party host usually want the sound system to fail?
does party host want sound system to fail?"," the party host wants the party to be fun.
 the party host wants the party to be a success.",neg,need_edit,does the party host want the sound system to fail?,88,false,contextual: false
88,88,you,CapableOf,just go anywhere you want,"can you just go anywhere you want?
 can you just go anywhere you want?
can you just go anywhere you want?", there are places on Earth that are uninhabited.,neg,need_edit,can you just go anywhere you want?,89,false,contextual: false
89,89,person,Desires,athelte foot,"does a person desire an athlete's foot?
 does a person usually desire athelte foot?
does a person want an athelte foot?"," athlete's foot is a fungal infection.
 athlete's foot is a disease.",neg,need_edit,does a person desire an athlete's foot?,90,false,contextual: false
90,90,brainstorm,CapableOf,necessarly occur during storm,"does brainstorming necessarly occur during a storm?
 does brainstorming necessarily occur during a storm?
can brainstorming necessarly occur during storm?"," brainstorming is a method of problem solving.
 brainstorming is a thinking process.",neg,need_edit,does brainstorming necessarly occur during a storm?,91,false,contextual: false
91,91,wing on airplane,CapableOf,move like wing on bird,"can a wing on an airplane move like a wing on a bird?
 can a wing on an airplane move like a wing on a bird?
can wings on airplane move like wings on birds?"," an airplane's wings are rigid.
 wings on airplanes are made of metal.",neg,need_edit,can a wing on an airplane move like a wing on a bird?,92,false,contextual: false
92,92,time,CapableOf,go backward,"can time go backward?
 can time go backward?
can time go backward?"," time is a concept created by humans.
 time goes forward.",neg,need_edit,can time go backward?,93,false,contextual: false
93,93,water,CapableOf,burn,"can water burn?
 can water burn things?
can water burn?"," water is made up of two elements, hydrogen and oxygen.
 water is a liquid.",neg,need_edit,can water burn?,94,false,contextual: false
94,94,rubber duckie be,CapableOf,sad,"can rubber duckies be sad?
 can rubber duckies be sad?
can a rubber duckie be sad?"," rubber duckies are yellow.
 rubber duckies are toys.",neg,need_edit,can rubber duckies be sad?,95,false,contextual: false
95,95,bone,HasProperty,hard as steel,"are bones as hard as steel?
 is bone usually as hard as steel?
does bone have the property of hard as steel?"," steel is a type of metal.
 bones are made of calcium.",neg,need_edit,are bones as hard as steel?,96,false,contextual: false
96,96,parent with brown or green eye,CapableOf,get child with blue eye,"can a parent with brown or green eyes have a child with blue eyes?
 can a parent with brown or green eyes have a child with blue eyes?
can a parent with brown or green eye get a child with blue eye?", eye color is determined by genetics.,neg,need_edit,can a parent with brown or green eyes have a child with blue eyes?,97,false,contextual: false
97,97,person,Desires,be alcoholic,"does every person desire to be alcoholic?
 do people usually want to be alcoholic?
does a person want to be alcoholic?"," alcoholism is a disease.
 alcoholics are people.",neg,need_edit,does every person desire to be alcoholic?,98,false,contextual: false
98,98,draw,HasProperty,precise as photograph,"is a drawing as precise as a photograph?
 does drawing generally have the property of being precise as a photograph?
does drawing have the property of being precise as a photograph?"," drawings are often less precise than photographs.
 photographs are more precise than drawings.",neg,need_edit,is a drawing as precise as a photograph?,99,false,contextual: false
99,99,person,Desires,feel tire,"does a person desire to feel tire?
 do people generally desire to feel tired?
does a person want to feel tire?"," a person desires to feel rested.
 a person desires to feel happy.",neg,need_edit,does a person desire to feel tire?,100,false,contextual: false
100,100,person,Desires,excessive heat,"do people desire excessive heat?
 do people usually desire excessive heat?
does a person want excessive heat?"," people perspire when they are hot.
 people will be tired after work.",neg,need_edit,do people desire excessive heat?,101,false,contextual: false
101,101,person,Desires,make same mistake twice,"does a person ever want to make the same mistake twice?
 do people usually want to make the same mistake twice?
does person want to make same mistake twice?", people are human.,neg,need_edit,does a person ever want to make the same mistake twice?,102,false,contextual: false
102,102,dog,CapableOf,speak human language,"can dogs speak human language?
 can dogs speak human language?
can a dog speak human language?"," dogs can understand some human words and commands.
 dogs can bark.",neg,need_edit,can dogs speak human language?,103,false,contextual: false
103,103,person,Desires,see rat,"does a person want to see a rat?
 do people generally desire to see rats?
does person want to see a rat?"," rats are often considered to be pests.
 a rat is a small rodent.",neg,need_edit,does a person want to see a rat?,104,false,contextual: false
104,104,person,Desires,be molest,"does a person want to be molested?
 do people generally desire to be molested?
does a person want to be molest?"," sexual assault is a crime.
 molestation is a crime.",neg,need_edit,does a person want to be molested?,105,false,contextual: false
105,105,person,Desires,allergy,"does a person with an allergy desire to have the allergy?
 do people usually desire to have allergies?
does a person want an allergy?"," people with allergies often have a reaction to the allergen.
 people with allergies are not happy.",neg,need_edit,does a person with an allergy desire to have the allergy?,106,false,contextual: false
106,106,seasickness,IsA,good thing,"is seasickness a good thing?
 is seasickness generally considered to be a good thing?
is seasickness a type of good thing?"," seasickness is a type of motion sickness.
 seasickness is a form of motion sickness.",neg,need_edit,is seasickness a good thing?,107,false,contextual: false
107,107,computer,Desires,be moist,"does a computer want to be moist?
 does a computer ever desire to be moist?
does my computer want to be moist?"," computers do not want to be moist.
 a computer is a machine.",neg,need_edit,does a computer want to be moist?,108,false,contextual: false
108,108,person,Desires,fail class,"does a person want to fail class?
 do people usually want to fail their classes?
does a person want to fail class?"," a person wants to do well in class.
 a person wants to pass class.",neg,need_edit,does a person want to fail class?,109,false,contextual: false
109,109,human,CapableOf,live forever,"can humans live forever?
 can humans live forever?
can humans live forever?"," the average lifespan of a human is 79 years.
 humans are mortal.",neg,need_edit,can humans live forever?,110,false,contextual: false
110,110,person,Desires,roach in house,"does a person desire a roach in their house?
 does a person usually desire to have a roach in their house?
does person want roach in house?"," roaches are pests.
 a roach is a pest.",neg,need_edit,does a person desire a roach in their house?,111,false,contextual: false
111,111,person,Desires,touch gross stuff,"do people desire to touch gross stuff?
 do people usually desire to touch gross stuff?
does a person want to touch gross stuff?", people are generally disgusted by gross stuff.,neg,need_edit,do people desire to touch gross stuff?,112,false,contextual: false
112,112,water and oil,CapableOf,mix,"can water and oil mix?
 can water and oil mix?
can water and oil mix?", oil and water are liquids.,neg,need_edit,can water and oil mix?,113,false,contextual: false
113,113,ice cream,CapableOf,go with pie,"can ice cream go with pie?
 can ice cream go with pie?
can ice cream go with pie?", ice cream can go with cake.,neg,need_edit,can ice cream go with pie?,114,false,contextual: false
114,114,person,Desires,be screw up,"does every person desire to screw up?
 do people usually desire to screw up?
does a person want to be screwed up?"," some people make mistakes on purpose.
 people usually desire to succeed.",neg,need_edit,does every person desire to screw up?,115,false,contextual: false
115,115,soccer,IsA,safe sport,"is soccer a safe sport?
 is soccer a safe sport?
is soccer a safe sport?"," soccer is a contact sport.
 soccer is a sport.",neg,need_edit,is soccer a safe sport?,116,false,contextual: false
116,116,mailbox,CapableOf,talk,"can a mailbox talk?
 can a mailbox talk?
can mailbox talk?"," mailboxes are for storing mail.
 mailbox is used for receiving letters.",neg,need_edit,can a mailbox talk?,117,false,contextual: false
117,117,rub alcohol,IsA,lubricant,"is rubbing alcohol a lubricant?
 can rub alcohol be used as a lubricant?
is rubbing alcohol a type of lubricant?"," rubbing alcohol is a solvent.
 rubbing alcohol is a kind of alcohol.",neg,need_edit,is rubbing alcohol a lubricant?,118,false,contextual: false
118,118,wash and wear fabric,CapableOf,need iron,"does wash and wear fabric need to be ironed?
 does wash and wear fabric usually need to be ironed?
can wash and wear fabric need ironing?"," wash and wear fabric is wrinkle-resistant.
 wash and wear fabric is easy to care.",neg,need_edit,does wash and wear fabric need to be ironed?,119,false,contextual: false
119,119,fine restaurant,CapableOf,serve to cardboard person,"can a fine restaurant serve to a cardboard person?
 can a fine restaurant serve to a cardboard person?
can a fine restaurant serve cardboard?"," a cardboard person is not a real person.
 cardboard is a type of paper.",neg,need_edit,can a fine restaurant serve to a cardboard person?,120,false,contextual: false
120,120,hiker,Desires,blister,"does a hiker want a blister?
 do hikers generally desire blisters?
does a hiker want a blister?"," a blister is a small, painful, raised area on the skin that is usually filled with fluid.
 a hiker wants to walk.",neg,need_edit,does a hiker want a blister?,121,false,contextual: false
121,121,artificial pearl,HasProperty,valuable as real pearl,"is an artificial pearl as valuable as a real pearl?
 are artificial pearls as valuable as real pearls?
does artificial pearl have the property of being valuable as real pearl?"," an artificial pearl is a cultured pearl.
 a pearl is a hard, glistening object produced within the soft tissue of a living shelled mollusk.",neg,need_edit,is an artificial pearl as valuable as a real pearl?,122,false,contextual: false
122,122,climber,Desires,break arm,"does a climber want to break their arm?
 do climbers generally desire to break their arm?
does climber want to break arm?"," a climber wants to avoid injury.
 climbers want to climb.",neg,need_edit,does a climber want to break their arm?,123,false,contextual: false
